날짜,아티스트,월별 청취자,팔로워,URL
2026-08-11,우희준,정보 없음,정보 없음,https://open.spotify.com/artist/0QPwpwjMdM0lU9NPmmqyEK
2026-08-11,이디오테잎,정보 없음,정보 없음,https://open.spotify.com/artist/0OmQCkk1rR3DJ0Y2NRxp6Z
2026-08-11,키라라,정보 없음,정보 없음,https://open.spotify.com/artist/6Q4tDWdAQdRjV4pAuqiHQW
2026-08-11,피치트럭하이재커스,정보 없음,정보 없음,https://open.spotify.com/artist/4RBk8cCsxzo5v0rHu5EgPA
2026-08-11,김창완밴드,정보 없음,정보 없음,https://open.spotify.com/artist/2bpghoDPX6onfPzQv570rM
2026-08-11,봉제인간,정보 없음,정보 없음,https://open.spotify.com/artist/3zyq3DzSd4aue9Q7s1qMVu
2026-08-11,추다혜차지스,정보 없음,정보 없음,https://open.spotify.com/artist/3ttQR1taRsySrYIc2U3iAA
2026-08-11,세이수미,정보 없음,정보 없음,https://open.spotify.com/artist/4tvbo17gXpYgSr8sTlkaby
2026-08-12,브로콜리너마저,정보 없음,정보 없음,https://open.spotify.com/artist/1gq4XavqmZhqOzEkpFBz1j
2026-08-12,아도이,정보 없음,정보 없음,https://open.spotify.com/artist/64sY7LsUjNE3ifONkftTXC
2026-08-12,우희준,정보 없음,정보 없음,https://open.spotify.com/artist/0QPwpwjMdM0lU9NPmmqyEK
2026-08-12,이디오테잎,정보 없음,정보 없음,https://open.spotify.com/artist/0OmQCkk1rR3DJ0Y2NRxp6Z
2026-08-12,키라라,정보 없음,정보 없음,https://open.spotify.com/artist/6Q4tDWdAQdRjV4pAuqiHQW
2026-08-12,피치트럭하이재커스,정보 없음,정보 없음,https://open.spotify.com/artist/4RBk8cCsxzo5v0rHu5EgPA
2026-08-12,김창완밴드,정보 없음,정보 없음,https://open.spotify.com/artist/2bpghoDPX6onfPzQv570rM
2026-08-12,봉제인간,정보 없음,정보 없음,https://open.spotify.com/artist/3zyq3DzSd4aue9Q7s1qMVu
2026-08-12,추다혜차지스,정보 없음,정보 없음,https://open.spotify.com/artist/3ttQR1taRsySrYIc2U3iAA
2026-08-12,세이수미,정보 없음,정보 없음,https://open.spotify.com/artist/4tvbo17gXpYgSr8sTlkaby
2026-08-13,브로콜리너마저,정보 없음,정보 없음,https://open.spotify.com/artist/1gq4XavqmZhqOzEkpFBz1j
2026-08-13,아도이,정보 없음,정보 없음,https://open.spotify.com/artist/64sY7LsUjNE3ifONkftTXC
2026-08-13,우희준,정보 없음,정보 없음,https://open.spotify.com/artist/0QPwpwjMdM0lU9NPmmqyEK
2026-08-13,이디오테잎,정보 없음,정보 없음,https://open.spotify.com/artist/0OmQCkk1rR3DJ0Y2NRxp6Z
2026-08-13,키라라,정보 없음,정보 없음,https://open.spotify.com/artist/6Q4tDWdAQdRjV4pAuqiHQW
2026-08-13,피치트럭하이재커스,정보 없음,정보 없음,https://open.spotify.com/artist/4RBk8cCsxzo5v0rHu5EgPA
2026-08-13,김창완밴드,정보 없음,정보 없음,https://open.spotify.com/artist/2bpghoDPX6onfPzQv570rM
2026-08-13,봉제인간,정보 없음,정보 없음,https://open.spotify.com/artist/3zyq3DzSd4aue9Q7s1qMVu
2026-08-13,추다혜차지스,정보 없음,정보 없음,https://open.spotify.com/artist/3ttQR1taRsySrYIc2U3iAA
2026-08-13,세이수미,정보 없음,정보 없음,https://open.spotify.com/artist/4tvbo17gXpYgSr8sTlkaby
2026-08-14,브로콜리너마저,정보 없음,정보 없음,https://open.spotify.com/artist/1gq4XavqmZhqOzEkpFBz1j
2026-08-14,아도이,정보 없음,정보 없음,https://open.spotify.com/artist/64sY7LsUjNE3ifONkftTXC
